no.,Mo lID,Molecule,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8
1,PCB  001.HIN,"2-chloro-1,1’-biphenyl",36,82,125,40.3938,5.1919,29.5833,19.9008,5.127
2,PCB  002.HIN,"3-chloro-1,1’-biphenyl",36,80,118,39.4682,5.2608,29.5833,19.4762,5.1905
3,PCB  003.HIN,"4-chloro-1,1’-biphenyl",36,80,118,39.6544,5.2044,29,19.6571,5.1595
4,PCB  004.HIN,"2,2’-dichloro-1,1’-biphenyl",40,92,147,45.1889,5.349,32.0667,22.2,5.2667
5,PCB  005.HIN,"2,3-dichloro-1,1’-biphenyl",40,92,146,45.2854,5.2996,31.95,22.2956,5.2183
6,PCB  006.HIN,"2,3’-dichloro-1,1’-biphenyl",40,90,139,44.2076,5.4151,32.1667,21.7198,5.3246
7,PCB  007.HIN,"2,4-dichloro-1,1’-biphenyl",40,90,139,44.2368,5.4259,32,21.7484,5.346
8,PCB  008.HIN,"2,4’-dichloro-1,1’-biphenyl",40,90,141,44.3718,5.436,31.7,21.8813,5.3659
9,PCB  009.HIN,"2,5-dichloro-1,1’-biphenyl",40,90,141,44.3718,5.436,31.7,21.8813,5.3659
10,PCB  010.HIN,"2,6-dichloro-1,1’-biphenyl",40,92,146,45.0094,5.369,32.3333,22.0286,5.2825
11,PCB  011.HIN,"3,3’-dichloro-1,1’-biphenyl",40,88,132,43.282,5.4839,32.1667,21.2952,5.3881
12,PCB  012.HIN,"3,4-dichloro-1,1’-biphenyl",40,90,139,44.6544,5.2877,31,22.1571,5.2429
13,PCB  013.HIN,"3,4’-dichloro-1,1’-biphenyl",40,88,132,43.4682,5.4275,31.5833,21.4762,5.3571
14,PCB  014.HIN,"3,5-dichloro-1,1’-biphenyl",40,88,132,43.1409,5.5581,32.5,21.1619,5.4548
15,PCB  015.HIN,"4,4’-dichloro-1,1’-biphenyl",40,88,132,43.6544,5.371,31,21.6571,5.3262
16,PCB  016.HIN,"2,3,2’-trichloro-1,1’-biphenyl",44,102,168,50.0806,5.4566,34.4333,24.5948,5.3579
17,PCB  017.HIN,"2,4,2’-trichloro-1,1’-biphenyl",44,100,161,49.0319,5.5829,34.4833,24.0476,5.4857
18,PCB  018.HIN,"2,5,2’-trichloro-1,1’-biphenyl",44,100,163,49.167,5.593,34.1833,24.1806,5.5056
19,PCB  019.HIN,"2,6,2’-trichloro-1,1’-biphenyl",44,102,169,49.8549,5.5281,34.7333,24.3773,5.4263
20,PCB  020.HIN,"2,3,3’-trichloro-1,1’-biphenyl",44,100,160,49.0993,5.5227,34.5333,24.1147,5.4159
21,PCB  021.HIN,"2,3,4-trichloro-1,1’-biphenyl",44,102,167,50.2149,5.42,34.1167,24.729,5.3349
22,PCB  022.HIN,"2,3,4’-trichloro-1,1’-biphenyl",44,100,160,49.2854,5.4662,33.95,24.2956,5.3849
23,PCB  023.HIN,"2,3,5-trichloro-1,1’-biphenyl",44,100,162,49.1066,5.6109,34.4833,24.1238,5.5095
24,PCB  024.HIN,"2,3,6-trichloro-1,1’-biphenyl",44,102,169,50.0593,5.4965,34.25,24.5762,5.4127
25,PCB  025.HIN,"2,4,3’-trichloro-1,1’-biphenyl",44,98,153,48.0506,5.649,34.5833,23.5675,5.5437
26,PCB  026.HIN,"2,5,3’-trichloro-1,1’-biphenyl",44,98,155,48.1857,5.6591,34.2833,23.7004,5.5635
27,PCB  027.HIN,"2,6,3’-trichloro-1,1’-biphenyl",44,100,160,48.8232,5.5922,34.9167,23.8476,5.4802
28,PCB  028.HIN,"2,4,4’-trichloro-1,1’-biphenyl",44,98,153,48.2368,5.5926,34,23.7484,5.5127
29,PCB  029.HIN,"2,4,5-trichloro-1,1’-biphenyl",44,100,162,49.3852,5.5234,33.6167,24.3909,5.4563
30,PCB  030.HIN,"2,4,6-trichloro-1,1’-biphenyl",44,100,160,48.6955,5.6703,35.1667,23.7238,5.554
31,PCB  031.HIN,"2,5,4’-trichloro-1,1’-biphenyl",44,98,155,48.3718,5.6026,33.7,23.8813,5.5325
32,PCB  032.HIN,"2,6,4’-trichloro-1,1’-biphenyl",44,100,160,49.0094,5.5357,34.3333,24.0286,5.4492
33,PCB  033.HIN,"2,3’,4’-trichloro-1,1’-biphenyl",44,100,160,49.3938,5.4419,33.5833,24.4008,5.377
34,PCB  034.HIN,"2,3’,5’-trichloro-1,1’-biphenyl",44,98,153,47.8803,5.7123,35.0833,23.4056,5.5889
35,PCB  035.HIN,"3,4,3’-trichloro-1,1’-biphenyl",44,98,153,48.0506,5.649,34.5833,23.5675,5.5437
36,PCB  036.HIN,"3,5,3’-trichloro-1,1’-biphenyl",44,96,146,46.9547,5.7812,35.0833,22.981,5.6524
37,PCB  037.HIN,"3,4,4’-trichloro-1,1’-biphenyl",44,98,153,48.6544,5.4544,33,24.1571,5.4095
